fname,lname,nickname,division,rank,style,country,debut
Matheus,Nicolau,,Flyweight,8,Boxing,Brazil,2015-11-07
Steve,Erceg,Astroboy,Flyweight,9,MMA,Australia,2023-05-20
Tim,Elliott,,Bantamweight,C,Freestyle,United States,2012-05-05
Matt,Schnell,Danger,Flyweight,11,Boxing,United States,2016-12-04
Tagir,Ulanbekov,,Flyweight,12,Grappler,Russia,2020-10-10
Tatsuro,Taira,,Flyweight,13,MMA,Japan,2022-04-30
Sumudaerji,,The Tibetan Eagle,Bantamweight,C,Striker,China,2024-06-05
David,Dvorak,Undertaker,Flyweight,14,MMA,Czechia,2020-03-14
Merab,Dvalishvili,The Machine,Bantamweight,1,Freestyle,Georgia,2017-12-09
Cory,Sandhagen,Sandman,Bantamweight,2,MMA,United States,2018-01-28
Petr,Yan,No Mercy,Bantamweight,3,Boxer,Russia,2018-06-23
Marlon,Vera,Chito,Bantamweight,4,Grappler,Ecuador,2014-11-15
Henry,Cejudo,Triple C,Bantamweight,5,Wrestling,United States,2014-12-13
Deiveson,Figueiredo,Deus da Guerra,Bantamweight,6,Boxing,Brazil,2017-06-03
Song,Yadong,Kung Fu Kid,Bantamweight,7,Boxer,China,2017-11-25
José,Aldo,,Bantamweight,8,Jiu-Jitsu,Brazil,2011-04-30
Rob,Font,,Bantamweight,9,Striker,United States,2014-07-05
Umar,Nurmagomedov,,Bantamweight,10,MMA,Russia,2021-01-20
Kyler,Phillips,The Matrix,Bantamweight,11,MMA,United States,2017-08-01
Mario,Bautista,,Bantamweight,12,Freestyle,United States,2019-01-19
Dominick,Cruz,The Dominator,Bantamweight,13,Wrestler,United States,2011-07-02
Jonathan,Martinez,Dragon,Bantamweight,14,Freestyle,United States,2018-10-27
Pedro,Munhoz,The Young Punisher,Bantamweight,15,Muay Thai,Brazil,2014-02-22
Brian,Ortega,T-City,Featherweight,3,Striker,United States,2014-07-26
Yair,Rodriguez,El Pantera,Featherweight,4,Freestyle,Mexico,2014-11-15
Movsar,Evloev,,Featherweight,5,Freestyle,Russia,2019-04-20
Arnold,Allen,Almighty,Featherweight,6,MMA,England,2015-06-20
Josh,Emmett,CC0 (C-C-OH),Featherweight,7,Freestyle,United States,2016-05-08
Calvin,Kattar,,Featherweight,9,Freestyle,United States,2017-07-29
Giga,Chikadze,Ninja,Featherweight,9,Karate,Georgia,2019-09-28
Lerone,Murphy,The Miracle,Featherweight,11,Kickboxer,England,2019-09-07
Bryce,Mitchell,Thug Nasty,Featherweight,12,MMA,United States,2018-07-06
Dan,Ige,50K,Featherweight,13,Jiu-Jitsu,United States,2017-07-25
Diego,Lopes,,Featherweight,14,Jiu-Jitsu,Brazil,2023-05-06
Edson,Barboza,Junior,Featherweight,15,Striker,Brazil,2010-11-21
Arman,Tsarukyan,Ahalkalakets,Lightweight,1,Kickboxer,Georgia,2019-04-20
Justin,Gaethje,The Highlight,Lightweight,3,MMA,United States,2017-07-08
Dustin,Poirier,The Diamond,Lightweight,4,Jiu-Jitsu,United States,2011-01-02
Mateusz,Gamrot,Gamer,Lightweight,5,Wrestling,Poland,2020-10-17
Michael,Chandler,Iron,Welterweight,C,Wrestler,United States,2021-01-23
Beneil,Dariush,,Lightweight,7,MMA,Iran,2014-01-15
Rafael,Fiziev,Ataman,Lightweight,8,Muay Thai,Kyrgyzstan,2019-04-20
Renato,Moicano,,Lightweight,10,Jiu-Jitsu,Brazil,2014-12-20
Dan,Hooker,The Hangman,Lightweight,11,MMA,New Zealand,2014-06-28
Jalin,Turner,The Tarantula,Lightweight,12,MMA,United States,2018-10-07
Benoît,Saint Denis,God of War,Lightweight,13,MMA,France,2021-10-30
Rafael,Dos Anjos,,Lightweight,14,Grappler,Brazil,2008-11-15
Bobby,Green,King,Lightweight,15,MMA,United States,2012-05-20
Kamaru,Usman,Nigerian Nightmare,Middleweight,C,Freestyle,Nigeria,2015-07-12
Belal,Muhammad,Remember The Name,Welterweight,2,MMA,United States,2016-07-07
Shavkat,Rakhmonov,Nomad,Welterweight,3,Sambo,Uzbekistan,2020-03-21
Colby,Covington,Chaos,Welterweight,4,MMA,United States,2014-08-23
Jack,Della Maddalena,,Welterweight,5,MMA,Australia,2022-01-22
Gilbert,Burns,Durinho,Welterweight,6,Brazilian Jiu-Jitsu,Brazil,2014-07-26
Ian,Machado Garry,The Future,Welterweight,7,MMA,Ireland,2021-11-06
Sean,Brady,,Welterweight,8,Brazilian Jiu-Jitsu,United States,2019-10-18
Stephen,Thompson,Wonderboy,Welterweight,9,Karate,United States,2012-02-04
Geoff,Neal,Handz of Steel,Welterweight,10,Striker,United States,2018-02-18
Joaquin,Buckley,New Mansa,Welterweight,11,Freestyle,United States,2020-08-08
Neil,Magny,The Haitian Sensation,Welterweight,12,MMA,United States,2013-02-23
Michael,Page,Venom,Welterweight,13,MMA,United Kingdom,2024-03-09
Vicente,Luque,The Silent Assassin,Welterweight,14,Muay Thai,United States,2015-07-12
Kevin,Holland,Trailblazer,Middleweight,C,Kung Fu,United States,2018-08-04
Robert,Whittaker,The Reaper,Middleweight,3,Brazilian Jiu-Jitsu,Australia,2012-12-16
Jared,Cannonier,Tha Killa Gorilla,Middleweight,4,Striker,United States,2015-01-03
Marvin,Vettori,The Italian Dream,Middleweight,5,MMA,Italy,2016-08-21
Brendan,Allen,All In,Middleweight,6,MMA,United States,2019-10-18
Paulo,Costa,The Eraser,Middleweight,8,Striker,Brazil,2017-03-12
Nassourdine,Imavov,,Middleweight,7,Striker,Russia,2020-10-03
Jack,Hermansson,The Joker,Middleweight,9,MMA,Sweden,2016-09-03
Khamzat,Chimaev,Borz,Middleweight,10,Freestyle,Unknown,2020-07-15
Roman,Dolidze,,Middleweight,11,MMA,Georgia,2020-07-18
Caio,Borralho,The Natural,Middleweight,12,MMA,Brazil,2022-04-16
Michel,Pereira,Demolidor,Middleweight,13,Striker,Brazil,2019-05-18
Anthony,Hernandez,Fluffy,Middleweight,14,Striker,United States,2019-02-02
Chris,Curtis,Action-Man,Middleweight,15,MMA,United States,2021-11-06
Jiří,Procházka,,Light Heavyweight,1,Muay Thai,Czechia,2020-07-11
Magomed,Ankalaev,,Light Heavyweight,2,MMA,Russia,2018-03-17
Jamahal,Hill,Sweet Dreams,Light Heavyweight,3,MMA,United States,2020-01-25
Jan,Błachowicz,,Light Heavyweight,4,MMA,Poland,2014-10-04
Aleksandar,Rakić,Rocket,Light Heavyweight,5,Freestyle,Austria,2017-09-02
Nikita,Krylov,The Miner,Light Heavyweight,6,Karate,Unknown,2013-09-01
Johnny,Walker,,Light Heavyweight,7,MMA,Brazil,2018-11-17
