fname,lname,nickname,division,rank,style,country,debut
Ian,Machado Garry,The Future,Welterweight,7,MMA,Ireland,2021-11-06
Sean,Brady,,Welterweight,8,Brazilian Jiu-Jitsu,United States,2019-10-18
Stephen,Thompson,Wonderboy,Welterweight,9,Karate,United States,2012-02-04
Geoff,Neal,Handz of Steel,Welterweight,10,Striker,United States,2018-02-18
Joaquin,Buckley,New Mansa,Welterweight,11,Freestyle,United States,2020-08-08
Neil,Magny,The Haitian Sensation,Welterweight,12,MMA,United States,2013-02-23
Vicente,Luque,The Silent Assassin,Welterweight,13,Muay Thai,United States,2015-07-12
Michael,Page,Venom,Welterweight,14,MMA,United Kingdom,2024-03-09
Kevin,Holland,Trailblazer,Middleweight,15,Kung Fu,United States,2018-08-04
Robert,Whittaker,The Reaper,Middleweight,3,Brazilian Jiu-Jitsu,Australia,2012-12-16
Nassourdine,Imavov,,Middleweight,4,Striker,Russia,2020-10-03
Jared,Cannonier,Tha Killa Gorilla,Middleweight,5,Striker,United States,2015-01-03
Marvin,Vettori,The Italian Dream,Middleweight,6,MMA,Italy,2016-08-21
Brendan,Allen,All In,Middleweight,7,MMA,United States,2019-10-18
Paulo,Costa,The Eraser,Middleweight,8,Striker,Brazil,2017-03-12
Jack,Hermansson,The Joker,Middleweight,9,MMA,Sweden,2016-09-03
Roman,Dolidze,,Light Heavyweight,15,MMA,Georgia,2020-07-18
Khamzat,Chimaev,Borz,Middleweight,11,Freestyle,Unknown,2020-07-15
Caio,Borralho,The Natural,Middleweight,12,MMA,Brazil,2022-04-16
Michel,Pereira,Demolidor,Middleweight,13,Striker,Brazil,2019-05-18
Anthony,Hernandez,Fluffy,Middleweight,14,Striker,United States,2019-02-02
Chris,Curtis,Action-Man,Middleweight,15,MMA,United States,2021-11-06
Jiří,Procházka,,Light Heavyweight,1,Muay Thai,Czechia,2020-07-11
Magomed,Ankalaev,,Light Heavyweight,2,MMA,Russia,2018-03-17
Jamahal,Hill,Sweet Dreams,Light Heavyweight,3,MMA,United States,2020-01-25
Jan,Błachowicz,,Light Heavyweight,4,MMA,Poland,2014-10-04
Aleksandar,Rakić,Rocket,Light Heavyweight,5,Freestyle,Austria,2017-09-02
Volkan,Oezdemir,No Time,Light Heavyweight,6,Striker,Switzerland,2017-02-05
Nikita,Krylov,The Miner,Light Heavyweight,6,Karate,Unknown,2013-09-01
Khalil,Rountree Jr.,,Light Heavyweight,8,MMA,United States,2016-07-09
Johnny,Walker,,Light Heavyweight,9,MMA,Brazil,2018-11-17
Carlos,Ulberg,Black Jag,Light Heavyweight,10,Kickboxer,New Zealand,2021-03-06
Azamat,Murzakanov,Professional,Light Heavyweight,11,MMA,Russia,2021-11-20
