Rk,Team,Date▲,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
78,BOS,2023-05-19,105,,MIA,L 105-111,240,37,79,.468,27,44,.614,10,35,.286,21,24,.875,105,42,92,.457,33,66,.500,9,26,.346,18,19,.947,111
79,BOS,2023-05-25,110,,MIA,W 110-97,240,40,79,.506,24,40,.600,16,39,.410,14,19,.737,110,40,78,.513,31,55,.564,9,23,.391,8,10,.800,97
80,BOS,2023-05-29,84,,MIA,L 84-103,240,32,82,.390,23,40,.575,9,42,.214,11,13,.846,84,42,86,.488,28,58,.483,14,28,.500,5,6,.833,103
81,BOS,2024-04-21,114,,MIA,W 114-94,240,39,82,.476,17,33,.515,22,49,.449,14,16,.875,114,38,81,.469,26,44,.591,12,37,.324,6,6,1.000,94
82,BOS,2024-04-24,101,,MIA,L 101-111,240,37,80,.463,25,48,.521,12,32,.375,15,21,.714,101,37,75,.493,14,32,.438,23,43,.535,14,18,.778,111
83,BOS,2024-05-01,118,,MIA,W 118-84,240,42,77,.545,26,37,.703,16,40,.400,18,27,.667,118,36,87,.414,33,58,.569,3,29,.103,9,10,.900,84
84,BOS,2024-05-07,120,,CLE,W 120-95,240,45,92,.489,27,46,.587,18,46,.391,12,14,.857,120,37,90,.411,26,48,.542,11,42,.262,10,13,.769,95
85,BOS,2024-05-09,94,,CLE,L 94-118,240,33,80,.413,25,45,.556,8,35,.229,20,24,.833,94,47,86,.547,34,58,.586,13,28,.464,11,16,.688,118
86,BOS,2024-05-15,113,,CLE,W 113-98,240,42,80,.525,23,37,.622,19,43,.442,10,12,.833,113,38,79,.481,25,48,.521,13,31,.419,9,12,.750,98
87,BOS,2024-05-21,133,,IND,W 133-128 (OT),265,47,99,.475,32,54,.593,15,45,.333,24,30,.800,133,53,99,.535,40,64,.625,13,35,.371,9,10,.900,128
