Rk,Team,Date▲,AST,,Opp,Result,MP,AST,STL,BLK,TOV,PF,AST,STL,BLK,TOV,PF
65,BOS,2022-05-23,21,,MIA,W 102-82,240,21,4,11,9,15,22,4,2,9,26
66,BOS,2022-05-27,22,,MIA,L 103-111,240,22,10,4,17,28,25,10,2,17,27
67,BOS,2022-06-08,28,,GSW,W 116-100,240,28,7,7,12,17,22,7,5,16,23
68,BOS,2022-06-10,22,,GSW,L 97-107,240,22,8,6,15,17,20,10,5,16,21
69,BOS,2022-06-16,27,,GSW,L 90-103,240,27,8,8,22,16,27,13,7,15,20
70,BOS,2023-04-15,25,,ATL,W 112-99,240,25,6,7,16,15,23,13,4,11,17
71,BOS,2023-04-18,28,,ATL,W 119-106,240,28,10,12,14,8,21,10,4,15,11
72,BOS,2023-04-25,31,,ATL,L 117-119,240,31,1,9,9,20,26,5,4,8,16
73,BOS,2023-05-01,26,,PHI,L 115-119,240,26,3,4,16,10,17,10,4,6,20
74,BOS,2023-05-03,26,,PHI,W 121-87,240,26,6,8,6,17,13,2,8,11,17
75,BOS,2023-05-09,21,,PHI,L 103-115,240,21,4,1,8,16,20,4,5,9,24
76,BOS,2023-05-14,18,,PHI,W 112-88,240,18,7,7,7,13,15,4,7,12,14
77,BOS,2023-05-17,22,,MIA,L 116-123,240,22,6,3,15,18,20,12,3,12,22
78,BOS,2023-05-19,22,,MIA,L 105-111,240,22,2,9,15,20,23,9,5,10,17
79,BOS,2023-05-25,23,,MIA,W 110-97,240,23,13,4,9,9,20,6,2,16,13
80,BOS,2023-05-29,18,,MIA,L 84-103,240,18,6,4,15,13,26,7,2,12,15
81,BOS,2024-04-21,27,,MIA,W 114-94,240,27,6,6,10,10,23,4,1,9,13
82,BOS,2024-04-24,21,,MIA,L 101-111,240,21,9,8,12,17,25,9,1,12,22
83,BOS,2024-05-01,23,,MIA,W 118-84,240,23,5,3,14,15,20,4,0,6,17
84,BOS,2024-05-07,22,,CLE,W 120-95,240,22,2,7,6,13,19,2,3,5,18
85,BOS,2024-05-09,22,,CLE,L 94-118,240,22,5,3,7,15,24,4,3,10,20
86,BOS,2024-05-15,32,,CLE,W 113-98,240,32,6,6,12,15,25,5,2,10,16
87,BOS,2024-05-21,30,,IND,W 133-128 (OT),265,30,11,5,14,15,38,8,4,21,23
