Rk,Team,Date,FG,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
35,IND,2012-04-30,33,,ORL,W 93-78,240,33,77,.429,31,57,.544,2,20,.100,25,28,.893,93,27,76,.355,19,51,.373,8,25,.320,16,19,.842,78
36,IND,2011-04-21,33,,CHI,L 84-88,240,33,87,.379,32,77,.416,1,10,.100,17,18,.944,84,28,72,.389,19,52,.365,9,20,.450,23,27,.852,88
37,IND,2014-05-20,32,,MIA,L 83-87,240,32,80,.400,23,61,.377,9,19,.474,10,15,.667,83,34,67,.507,26,47,.553,8,20,.400,11,18,.611,87
38,IND,2014-05-07,32,,WAS,W 86-82,240,32,72,.444,28,60,.467,4,12,.333,18,21,.857,86,36,80,.450,31,59,.525,5,21,.238,5,12,.417,82
39,IND,2013-05-14,31,,NYK,W 93-82,240,31,76,.408,23,51,.451,8,25,.320,23,30,.767,93,31,87,.356,23,59,.390,8,28,.286,12,14,.857,82
40,IND,2011-04-23,31,,CHI,W 89-84,240,31,79,.392,26,63,.413,5,16,.313,22,34,.647,89,31,82,.378,28,62,.452,3,20,.150,19,24,.792,84
41,IND,2014-05-13,30,,WAS,L 79-102,240,30,77,.390,24,62,.387,6,15,.400,13,22,.591,79,41,82,.500,36,64,.563,5,18,.278,15,19,.789,102
42,IND,2012-04-28,30,,ORL,L 77-81,240,30,87,.345,26,74,.351,4,13,.308,13,22,.591,77,32,81,.395,23,57,.404,9,24,.375,8,11,.727,81
43,IND,2013-05-26,29,,MIA,L 96-114,240,29,73,.397,21,59,.356,8,14,.571,30,44,.682,96,42,77,.545,36,63,.571,6,14,.429,24,28,.857,114
44,IND,2013-05-11,28,,NYK,W 82-71,240,28,80,.350,18,47,.383,10,33,.303,16,23,.696,82,25,71,.352,22,60,.367,3,11,.273,18,25,.720,71
45,IND,2016-04-21,26,,TOR,L 85-101,240,26,68,.382,20,46,.435,6,22,.273,27,33,.818,85,39,94,.415,29,63,.460,10,31,.323,13,16,.813,101
