Rk,Team,Date▲,AST,,Opp,Result,MP,AST,STL,BLK,TOV,PF,AST,STL,BLK,TOV,PF
64,BOS,2022-05-25,24,@,MIA,W 93-80,240,24,5,7,15,19,14,7,2,12,19
65,BOS,2022-05-29,22,@,MIA,W 100-96,240,22,4,6,13,26,16,4,5,8,18
66,BOS,2022-06-02,33,@,GSW,W 120-108,240,33,7,6,12,13,24,8,6,14,16
67,BOS,2022-06-05,24,@,GSW,L 88-107,240,24,5,7,18,18,25,15,2,12,17
68,BOS,2022-06-13,18,@,GSW,L 94-104,240,18,2,2,18,16,23,9,2,6,28
69,BOS,2023-04-21,31,@,ATL,L 122-130,240,31,11,0,12,17,24,5,6,18,15
70,BOS,2023-04-23,25,@,ATL,W 129-121,240,25,4,5,16,23,25,8,4,12,24
71,BOS,2023-04-27,24,@,ATL,W 128-120,240,24,7,10,7,16,28,5,7,10,15
72,BOS,2023-05-05,25,@,PHI,W 114-102,240,25,9,7,12,23,21,7,8,13,20
73,BOS,2023-05-07,25,@,PHI,L 115-116 (OT),265,25,3,12,10,21,19,9,3,7,23
74,BOS,2023-05-11,22,@,PHI,W 95-86,240,22,7,6,17,14,18,14,7,11,13
75,BOS,2023-05-21,25,@,MIA,L 102-128,240,25,3,3,15,24,25,7,4,9,16
76,BOS,2023-05-23,28,@,MIA,W 116-99,240,28,8,8,10,24,18,5,2,15,18
77,BOS,2023-05-27,18,@,MIA,W 104-103,240,18,4,8,12,22,22,5,4,5,24
78,BOS,2024-04-27,22,@,MIA,W 104-84,240,22,4,6,5,16,21,2,2,12,14
79,BOS,2024-04-29,21,@,MIA,W 102-88,240,21,5,3,10,20,17,4,3,13,18
80,BOS,2024-05-11,22,@,CLE,W 106-93,240,22,3,4,11,14,17,4,2,8,14
81,BOS,2024-05-13,15,@,CLE,W 109-102,240,15,6,4,14,12,26,8,3,7,17
